dog_id,vacc_start_date,vacc_start_range,vacc_end_date
2-1084-m-1,2011-07-06,365.25,2011-12-04
2-1094-m-1,2011-08-14,365.25,2011-12-22
2-1442-f-1,2013-07-01,365.25,2016-06-30
2-1460-f-1,2014-07-01,365.25,2015-09-27
2-1460-m-1,2014-07-01,365.25,2015-09-27
2-1463-m-1,2013-07-01,365.25,2014-11-17
2-1463-m-2,2013-07-01,365.25,2014-11-17
2-1463-m-3,2013-07-01,365.25,2014-11-17
2-1529-m-1,2013-03-13,365.25,2015-12-24
2-1570-m-1,2011-08-17,0,2011-11-09
3-1451-m-1,2012-03-26,304.4,2012-03-27
3-652-f-1,2012-04-26,152.2,2015-06-30
3-652-m-1,2012-04-26,152.2,2012-10-19
3-652-m-2,2012-04-26,152.2,2012-04-11
3-682-f-1,2012-05-26,91.32,2012-04-11
3-682-f-2,2012-05-26,91.32,2012-04-11
4-1491-m-1,2014-07-01,365.25,2017-06-30
4-1553-m-3,2012-10-03,106.54,2013-06-22
4-1788c-f-1,2013-03-12,365.25,2014-11-24
4-462ee-f-1,2012-08-26,121.76,2013-05-07
4-53-f-1,2013-07-01,365.25,2015-12-21
4-626e-m-1,2013-07-01,365.25,2016-06-30
4-635-f-1,2013-07-01,365.25,2014-11-19
9000008800507590,2012-09-15,60.88,2012-11-29
900008800166071,2011-07-08,0,2012-05-21
900008800166075,2011-07-10,182.625,2011-09-29
900008800166079,2011-07-12,0,2012-06-20
900008800166081,2011-07-11,365.25,2018-06-30
900008800166084,2011-07-15,0,2013-07-01
900008800166092,2011-07-06,0,2015-08-20
900008800166103,2011-07-13,0,2013-06-22
900008800166108,2011-07-12,0,2013-11-25
900008800166113,2011-08-15,0,2013-02-01
900008800166124,2011-08-14,365.25,2013-11-11
900008800166127,2011-07-12,0,2017-06-30
900008800166173,2011-07-04,365.25,2014-12-07
900008800166175,2011-07-13,0,2016-06-30
900008800166184,2011-07-07,0,2013-07-13
900008800166206,2011-07-15,0,2013-03-18
900008800166219,2011-07-08,0,2016-06-30
900008800166230,2011-07-05,0,2014-04-04
900008800166237,2011-07-15,0,2013-10-10
900008800166251,2011-07-06,0,2016-06-30
900008800166255,2011-07-12,0,2012-07-11
900008800166260,2011-07-11,365.25,2013-10-28
900008800166261,2011-07-15,0,2013-05-14
900008800166263,2011-07-13,0,2012-12-15
900008800166270,2013-07-01,365.25,2014-10-13
900008800166286,2011-07-13,0,2013-10-18
900008800166293,2011-07-14,365.25,2012-02-22
900008800166296,2011-07-15,0,2013-04-29
900008800166299,2011-07-14,0,2011-10-19
900008800166313,2011-07-13,0,2015-02-25
900008800166315,2012-10-05,0,2018-06-30
900008800166315,2012-10-05,0,2012-09-30
900008800166315,2011-07-15,0,2012-09-30
900008800166318,2011-07-12,0,2013-07-09
900008800166319,2011-08-14,365.25,2013-07-12
900008800166326,2011-07-08,0,2013-12-08
900008800166332,2011-07-12,0,2012-11-19
900008800166341,2011-08-15,0,2013-06-27
900008800166343,2011-08-15,0,2013-02-01
900008800166362,2011-07-05,0,2013-02-25
900008800166364,2011-07-06,0,2019-09-01
900008800166375,2011-07-11,365.25,2012-07-26
900008800166382,2011-07-05,0,2014-04-04
900008800166404,2011-07-14,0,2016-06-30
900008800166423,2011-07-07,0,2012-02-15
900008800166424,2011-07-11,0,2012-09-30
900008800166439,2011-07-14,0,2012-12-17
900008800166442,2011-07-11,0,2012-12-15
900008800166444,2011-07-08,0,2013-07-15
900008800166447,2011-07-15,0,2014-06-13
900008800166450,2011-07-05,0,2012-09-20
900008800166462,2011-07-12,0,2014-01-07
900008800166465,2011-07-12,0,2013-07-27
900008800166488,2011-07-15,0,2011-10-01
900008800166497,2011-07-14,0,2012-03-16
900008800166501,2011-07-13,0,2013-12-09
900008800166510,2013-07-01,365.25,2014-07-23
900008800166512,2011-07-05,0,2014-02-17
900008800166528,2011-07-05,0,2014-01-18
900008800166531,2011-07-11,365.25,2013-07-01
900008800166543,2011-07-15,0,2014-04-23
900008800166544,2013-07-01,365.25,2018-06-30
900008800166544,2013-09-01,0,2018-06-30
900008800166554,2011-07-12,0,2012-06-20
900008800166570,2011-07-15,0,2013-09-15
900008800166576,2011-08-15,0,2013-04-02
900008800166578,2011-08-15,0,2016-06-30
900008800166585,2011-07-06,0,2013-01-01
900008800166599,2011-07-15,0,2015-09-06
900008800166607,2011-07-14,0,2017-06-30
900008800166628,2011-07-15,0,2013-05-01
900008800166647,2011-08-15,0,2013-03-03
900008800166647,2013-10-14,0,2013-03-03
900008800166647,2013-10-14,0,2016-06-30
900008800166657,2011-07-11,0,2013-03-09
900008800166658,2011-07-07,0,2012-07-31
900008800166659,2011-07-15,0,2011-11-19
900008800166672,2011-07-14,365.25,2018-06-30
900008800166682,2011-07-14,0,2013-03-08
900008800166683,2011-07-12,0,2012-11-15
900008800166697,2011-07-14,365.25,2018-06-30
900008800166705,2011-07-11,365.25,2011-10-01
900008800166709,2011-07-11,0,2011-10-07
900008800166736,2011-07-14,0,2012-03-27
900008800166748,2011-07-05,365.25,2015-05-18
900008800166750,2011-08-14,365.25,2017-06-30
900008800166768,2011-07-06,365.25,2012-11-28
900008800166769,2011-07-08,0,2019-09-01
900008800166771,2011-07-14,0,2013-04-11
900008800166772,2011-07-14,365.25,2014-04-23
900008800166775,2011-07-14,365.25,2013-07-07
900008800166783,2011-07-10,365.25,2012-10-21
900008800166793,2015-09-08,0,2015-07-25
900008800166793,2013-07-01,365.25,2015-07-25
900008800166795,2011-07-12,0,2012-07-31
900008800166798,2011-08-15,0,2016-06-30
900008800166802,2011-07-06,0,2018-08-15
900008800166805,2011-07-15,0,2011-10-01
900008800166808,2011-07-06,0,2012-05-13
900008800166810,2011-07-06,0,2014-07-05
900008800166819,2011-07-06,0,2014-07-05
900008800166835,2011-07-12,0,2012-12-19
900008800166847,2011-08-14,365.25,2013-07-12
900008800166898,2011-07-08,0,2019-09-01
900008800166949,2011-07-15,0,2012-07-14
900008800166958,2011-07-15,0,2013-03-15
900008800167060,2011-08-15,0,2013-10-21
900008800167076,2011-07-14,0,2012-07-28
900008800167090,2011-07-12,0,2013-02-18
900008800167097,2011-07-11,0,2011-12-29
900008800167103,2013-07-01,365.25,2016-06-30
900008800167105,2011-07-12,0,2012-08-04
900008800167123,2011-07-15,0,2014-04-23
900008800167123,2015-07-20,0,2014-04-23
900008800167140,2011-07-08,0,2017-06-30
900008800167157,2011-07-15,0,2014-04-23
900008800167157,2015-07-20,0,2014-04-23
900008800167180,2011-08-15,0,2013-02-01
900008800167187,2011-07-15,0,2011-10-01
900008800167232,2011-07-11,0,2012-12-12
900008800167243,2011-07-15,0,2014-11-18
900008800167256,2012-02-04,365.25,2018-06-30
900008800167278,2011-07-08,0,2011-08-22
900008800167288,2011-07-08,0,2016-06-30
900008800167321,2011-07-15,0,2011-11-01
900008800167337,2011-07-08,0,2019-09-01
900008800167414,2011-07-10,365.25,2011-10-06
900008800167420,2011-08-14,365.25,2016-01-20
900008800167430,2011-07-14,0,2011-10-11
900008800167434,2011-07-15,0,2013-06-17
900008800167456,2011-07-12,0,2012-08-04
900008800167495,2011-07-15,0,2011-10-01
900008800167635,2011-07-08,0,2014-11-02
900008800167645,2011-07-12,0,2011-09-12
900008800167666,2011-07-11,0,2014-04-04
900008800167695,2011-07-15,0,2018-06-30
900008800167711,2011-07-08,0,2011-10-30
900008800167839,2011-07-08,0,2013-07-13
900008800167859,2011-07-14,0,2013-02-09
900008800167867,2011-08-15,0,2014-04-26
900008800167876,2013-07-01,365.25,2014-08-14
900008800167878,2011-07-08,0,2016-06-30
900008800167926,2011-07-15,0,2012-09-29
900008800167928,2011-07-10,365.25,2017-06-30
900008800167945,2011-07-11,0,2013-06-22
900008800167946,2011-07-11,365.25,2011-10-01
900008800168004,2011-07-08,0,2014-12-12
900008800168064,2011-07-14,0,2018-06-30
900008800168213,2011-12-18,365.25,2016-06-30
900008800168223,2011-07-08,0,2012-10-28
900008800168265,2011-07-08,0,2019-09-01
900008800168272,2011-07-11,0,2014-02-24
900008800168294,2011-07-07,365.25,2011-10-11
900008800168313,2011-07-12,0,2011-10-11
900008800168480,2011-07-07,0,2013-09-24
900008800168524,2011-08-15,0,2011-12-10
900008800168555,2011-07-13,365.25,2014-11-25
900008800168651,2011-07-14,0,2018-06-30
900008800168657,2011-07-13,0,2013-07-17
900008800168683,2011-07-14,365.25,2013-03-15
900008800168686,2011-07-06,365.25,2016-06-30
900008800168701,2011-07-12,0,2012-07-31
900008800168782,2011-07-14,0,2012-10-11
900008800168805,2011-07-15,0,2011-08-02
900008800168888,2011-07-08,0,2013-08-30
900008800168955,2011-08-14,365.25,2011-12-02
900008800169012,2014-01-17,0,2013-05-30
900008800169012,2011-07-15,0,2013-05-30
900008800169012,2014-01-17,0,2019-09-01
900008800169256,2011-07-15,0,2015-07-23
900008800169269,2011-07-11,0,2011-10-07
900008800169620,2011-07-14,365.25,2016-06-30
900008800169705,2011-07-11,0,2013-12-27
900008800169711,2011-07-12,0,2013-05-27
900008800169816,2011-07-07,0,2012-02-13
900008800169861,2013-07-01,365.25,2014-01-29
900008800169867,2011-07-14,365.25,2012-10-16
900008800174151,2011-08-17,0,2017-06-30
900008800174996,2011-07-12,0,2016-06-30
900008800175165,2011-07-07,0,2018-06-30
900008800175318,2011-07-07,0,2014-12-08
900008800175330,2011-07-08,0,2014-11-05
900008800175376,2011-07-07,0,2013-09-15
900008800175430,2011-07-11,0,2011-10-13
900008800175496,2011-07-08,0,2015-10-26
900008800175566,2012-02-11,365.25,2018-08-15
900008800175603,2011-07-06,0,2014-07-05
900008800175648,2011-07-06,0,2012-05-16
90000880017567,2011-07-11,365.25,2013-03-05
900008800175741,2011-07-11,365.25,2011-12-14
900008800175879,2011-07-18,0,2018-06-30
900008800175882,2011-07-06,0,2019-09-01
900008800175891,2011-07-13,365.25,2014-03-21
900008800175913,2011-07-08,0,2012-02-21
900008800175929,2013-07-01,365.25,2019-09-01
900008800175949,2011-07-07,0,2016-06-30
900008800175990,2011-07-08,0,2013-06-06
900008800176032,2011-07-14,0,2013-04-16
900008800176051,2011-07-06,0,2013-08-16
900008800176055,2011-07-14,0,2011-10-19
900008800176058,2011-07-07,0,2012-03-16
900008800176071,2011-07-07,365.25,2014-11-18
900008800176106,2011-07-12,0,2011-12-12
900008800176152,2011-07-06,365.25,2012-02-14
900008800176163,2012-02-28,365.25,2016-06-30
900008800176165,2011-07-12,0,2014-02-08
900008800176174,2011-07-14,0,2013-03-23
900008800176181,2011-07-06,365.25,2015-05-17
900008800176200,2011-07-06,0,2013-05-27
900008800176250,2011-07-13,0,2011-10-03
900008800176292,2011-07-13,365.25,2015-03-13
900008800176295,2011-07-07,0,2013-07-16
900008800176354,2011-07-11,0,2015-08-11
900008800176408,2011-07-06,365.25,2018-06-30
900008800176432,2011-07-12,0,2011-11-12
900008800176454,2011-07-08,0,2016-06-30
900008800176457,2011-07-07,0,2018-06-30
900008800176475,2011-07-07,0,2013-09-24
900008800176480,2011-07-07,0,2014-09-04
900008800176492,2011-07-12,0,2013-05-17
900008800176504,2011-07-07,0,2012-07-31
900008800176514,2011-07-11,0,2013-09-04
900008800176523,2011-07-11,0,2012-08-06
900008800176560,2011-07-13,365.25,2013-12-10
900008800176566,2011-07-10,365.25,2011-08-10
900008800176628/900008800513613,2011-08-15,0,2013-03-18
900008800176636,2011-07-14,0,2015-01-27
900008800176682,2011-07-10,365.25,2013-12-25
900008800176724,2011-07-11,0,2014-11-25
900008800176745,2011-07-12,0,2017-06-30
900008800176747,2011-07-07,0,2014-07-06
900008800176750,2011-07-10,365.25,2011-11-25
900008800176757,2011-07-07,0,2018-06-30
900008800176807,2011-08-14,365.25,2012-06-01
900008800176830,2011-08-17,0,2011-11-13
900008800176846,2011-07-14,0,2013-05-14
900008800176861,2011-07-12,0,2019-09-15
900008800176877,2011-08-15,0,2016-06-30
900008800176886,2011-07-06,0,2012-05-16
900008800176914,2011-07-10,365.25,2015-09-10
900008800176927,2011-07-14,0,2011-10-01
900008800176940,2011-07-13,0,2019-09-01
900008800176946,2011-07-14,0,2012-07-24
900008800176984,2011-07-08,0,2011-08-22
900008800177034,2011-07-13,365.25,2016-06-30
900008800177040,2011-07-11,0,2011-12-12
900008800177046,2011-07-11,0,2013-04-14
900008800177052,2011-07-08,0,2016-06-30
900008800177052,2014-06-21,0,2016-06-30
900008800177052,2011-07-08,0,2014-06-20
900008800177052,2014-06-21,0,2014-06-20
900008800177091,2011-07-06,0,2013-05-17
900008800177142,2011-07-14,0,2013-06-16
900008800177159,2011-07-07,0,2013-02-19
900008800177187,2011-07-13,365.25,2011-10-11
900008800177212,2011-08-15,0,2013-02-14
900008800177215,2011-07-11,0,2012-12-11
900008800177243,2011-07-11,0,2013-05-09
900008800177245,2011-07-11,0,2011-10-13
900008800177248,2012-07-05,0,2017-06-30
900008800177248,2011-07-13,0,2017-06-30
900008800177259,2011-07-13,0,2015-09-27
900008800177273,2011-07-07,365.25,2014-08-04
900008800177301,2011-07-06,0,2018-06-30
900008800177320,2011-07-13,0,2013-03-10
900008800177343,2011-07-11,0,2016-06-30
900008800177347,2011-08-14,365.25,2014-02-27
900008800177348,2011-07-14,0,2018-06-30
900008800177366,2011-07-13,365.25,2019-09-01
900008800177409/900008800507139,2011-08-15,0,2019-09-01
900008800177423,2012-02-07,365.25,2018-06-30
900008800177443,2011-07-11,0,2013-05-09
900008800177444,2011-08-17,365.25,2012-01-29
900008800177452,2011-07-14,0,2013-04-16
900008800177456,2011-08-15,0,2013-02-16
900008800177458,2011-07-12,0,2013-05-12
900008800177461,2011-07-12,0,2013-04-25
900008800177495,2011-07-13,365.25,2014-05-07
900008800177511,2011-07-15,0,2014-04-23
900008800177516,2011-07-07,0,2012-08-16
900008800177526,2011-07-12,0,2012-03-26
900008800177531,2011-07-12,0,2013-06-20
900008800177544,2011-07-12,0,2013-02-14
900008800177551,2011-07-06,0,2014-07-05
900008800177573,2011-07-11,365.25,2013-06-26
900008800177574,2011-07-18,0,2013-01-30
900008800177614,2011-07-14,0,2014-12-21
900008800177622,2011-07-07,365.25,2012-11-28
900008800177624,2011-07-07,365.25,2014-08-04
900008800177630,2013-01-22,365.25,2018-06-30
900008800177640,2011-07-11,365.25,2013-03-05
900008800177678,2011-07-15,0,2014-11-24
900008800177682,2011-07-15,0,2012-04-27
900008800177685,2011-07-14,0,2012-03-21
900008800177691,2011-07-14,0,2012-07-24
900008800177705,2011-07-14,0,2014-12-21
900008800177714,2011-07-12,0,2012-12-26
900008800177735,2011-07-05,365.25,2014-11-23
900008800177760,2011-07-18,0,2015-11-02
900008800177811,2011-07-14,0,2019-09-01
900008800177823,2011-07-15,0,2012-02-07
900008800177841,2011-07-13,365.25,2014-09-21
900008800177845,2011-07-11,365.25,2011-09-18
900008800177874,2011-07-18,0,2016-06-30
900008800177876,2013-07-01,365.25,2014-08-04
900008800177923,2011-07-12,0,2015-11-20
900008800177978,2011-07-15,0,2012-07-28
900008800177992,2013-01-23,365.25,2016-06-30
900008800178002,2011-07-12,0,2019-09-01
900008800178006,2011-07-13,365.25,2011-10-19
900008800178026,2011-07-11,0,2011-09-22
900008800178078,2011-07-18,0,2013-11-04
900008800178081,2011-07-18,0,2013-08-05
900008800178091,2011-07-15,0,2012-02-07
900008800178112,2011-07-14,0,2012-03-08
900008800178125,2011-07-14,0,2011-10-22
900008800178147,2011-07-13,0,2018-06-30
900008800178149,2011-07-15,0,2013-11-30
900008800178150,2011-07-12,0,2012-08-04
900008800178157,2011-07-07,365.25,2011-10-29
900008800178161,2011-07-08,0,2012-12-30
900008800178223,2011-07-14,0,2012-03-14
900008800178243,2011-07-15,0,2014-04-23
900008800178261,2011-07-08,0,2014-07-05
900008800178277,2011-07-08,0,2014-07-05
900008800178310,2011-07-14,0,2012-12-17
900008800178313,2011-07-14,0,2019-09-01
900008800178492,2011-07-08,0,2013-04-07
900008800178575,2011-07-12,0,2013-11-06
900008800178643,2011-07-11,0,2013-02-11
900008800178662,2011-07-06,0,2012-07-01
900008800178672,2011-07-10,365.25,2014-05-05
900008800178677,2011-07-12,0,2014-12-17
900008800178678,2011-07-05,365.25,2012-11-26
900008800178742,2011-07-07,365.25,2012-11-28
900008800178832,2011-07-06,0,2012-07-01
900008800178868,2011-07-11,0,2014-04-04
900008800178913,2011-07-08,0,2017-06-30
900008800178922,2011-07-08,0,2013-03-31
900008800179950,2011-07-15,0,2015-10-12
900008800179959,2014-07-01,365.25,2016-02-19
900008800180015,2011-07-15,0,2015-09-24
900008800180018,2012-02-04,365.25,2018-06-30
900008800180034,2011-07-14,365.25,2019-09-01
900008800180077,2011-07-15,0,2013-05-31
900008800181227,2011-07-10,365.25,2012-08-25
900008800181256,2011-07-15,0,2013-01-17
900008800181265,2011-07-15,0,2013-06-26
900008800181269,2011-07-07,0,2012-12-13
900008800182830,2012-01-03,121.76,2013-03-21
900008800182861,2011-08-16,365.25,2017-06-30
900008800182878,2012-01-03,121.76,2012-09-24
900008800182957,2011-07-02,365.25,2014-03-30
900008800183311,2011-08-01,365.25,2018-06-30
900008800183579,2011-08-14,365.25,2012-08-04
900008800183583,2011-07-10,365.25,2014-08-05
900008800183601,2011-08-14,365.25,2012-08-04
900008800183644,2011-10-16,213.08,2013-08-19
900008800183767,2011-12-31,167.42,2014-01-02
900008800184158,2011-08-04,365.25,2013-04-30
900008800184202,2011-08-04,365.25,2012-06-12
900008800184424,2013-07-01,365.25,2017-06-30
900008800184428,2011-12-02,334.84,2012-05-12
900008800184639,2011-08-14,365.25,2012-08-04
900008800184679,2011-09-08,228.3,2019-09-01
900008800184709,2011-10-02,243.52,2013-02-24
900008800184747,2011-08-28,273.96,2015-12-24
900008800184781,2012-01-03,121.76,2012-02-29
900008800184782,2012-02-04,365.25,2019-09-01
900008800184807,2012-02-04,365.25,2015-07-12
900008800184814,2013-01-13,365.25,2014-06-26
900008800184820,2012-01-01,365.25,2013-07-26
900008800184832,2013-07-01,365.25,2018-06-30
900008800184838,2012-05-27,45.66,2013-06-06
900008800184866,2011-08-14,365.25,2016-06-30
900008800184876,2011-08-17,273.96,2016-02-25
900008800184889,2012-02-04,365.25,2015-08-11
900008800184953,2011-12-01,182.64,2016-01-13
900008800185180,2013-01-22,365.25,2016-01-12
900008800185237,2013-07-01,365.25,2015-01-22
900008800185531,2013-07-01,365.25,2016-04-29
900008800185710,2011-08-01,365.25,2014-01-14
900008800185897,2011-12-29,365.25,2012-08-11
900008800185961,2013-07-01,365.25,2014-07-10
900008800186058,2011-08-29,365.25,2013-03-15
900008800186123,2013-03-13,365.25,2013-06-30
900008800186145,2011-08-14,365.25,2012-06-04
900008800186270,2015-02-22,0,2014-06-01
900008800186270,2012-02-13,365.25,2014-06-01
900008800186270,2015-02-22,0,2015-09-28
900008800186270,2015-02-02,0,2015-09-28
900008800186273,2012-02-12,365.25,2018-06-30
900008800186426,2011-09-08,228.3,2019-09-01
900008800187265,2011-12-21,136.98,2013-03-15
900008800187424,2011-08-29,365.25,2019-09-01
900008800187573,2011-08-14,365.25,2012-12-12
900008800189427,2011-11-28,152.2,2012-05-11
900008800191412,2011-09-25,304.4,2011-12-18
900008800193817,2011-09-28,365.25,2012-06-26
900008800194034,2013-06-05,314.085,2013-11-09
900008800194122,2013-07-01,365.25,2018-06-30
900008800194676,2015-05-19,279.625,2017-06-30
900008800194677,2011-08-26,365.25,2012-08-27
900008800194772,2011-08-26,365.25,2012-03-18
900008800194979,2012-02-27,333.75,2014-03-25
900008800194984,2011-08-26,365.25,2012-06-07
900008800195031,2011-08-26,365.25,2014-08-26
900008800195031,2015-07-01,365.25,2018-06-30
900008800195034,2011-08-26,365.25,2012-04-18
900008800195104,2013-01-07,365.25,2018-06-30
900008800195109,2013-07-01,365.25,2014-11-18
900008800197157,2011-12-01,365.25,2015-05-02
900008800198642,2011-11-20,213.08,2012-09-07
900008800250955,2012-04-26,106.54,2015-08-20
900008800251078,2013-07-01,365.25,2018-05-18
900008800251166,2012-06-15,365.25,2012-12-30
900008800251166,2013-10-08,365.25,2018-07-01
900008800251191,2011-12-20,365.25,2014-12-12
900008800251295,2011-12-20,365.25,2013-05-16
900008800251337,2011-12-20,365.25,2014-01-05
900008800251965,2013-05-23,288.205,2013-10-14
900008800251972,2014-07-01,365.25,2015-09-27
900008800252004,2016-09-01,61,2019-09-01
900008800252021,2012-05-29,182.75,2018-06-30
900008800252185,2013-07-01,365.25,2016-04-24
900008800252259,2014-07-01,365.25,2015-09-27
900008800252469,2012-07-01,182.625,2014-12-27
900008800252486,2013-06-29,362.525,2013-12-27
900008800252560,2013-07-01,365.25,2017-06-30
900008800252804,2011-08-18,0,2013-11-12
900008800252807,2013-07-01,365.25,2017-05-13
900008800252812,2013-06-22,349.085,2013-12-14
900008800253014,2012-05-27,142.75,2019-09-01
900008800253018,2012-04-26,106.54,2015-08-21
900008800253088,2013-07-01,365.25,2015-11-25
900008800253217,2013-11-15,30.5,2017-06-30
900008800253232,2012-05-02,273.96,2018-06-30
900008800253380,2012-06-18,91.32,2013-04-22
900008800253419,2012-02-16,273.96,2012-07-06
900008800253538,2011-08-17,0,2014-12-14
900008800253686,2012-02-26,337.75,2017-06-30
900008800253704,2012-04-01,365.25,2016-06-06
900008800256577,2011-11-03,365.25,2015-11-26
900008800257503,2013-01-10,365.25,2015-09-17
900008800257528,2011-12-18,365.25,2012-05-06
900008800257542,2013-07-01,365.25,2018-06-30
900008800257638,2012-04-18,121.76,2019-09-01
900008800257679,2013-03-14,365.25,2015-09-30
900008800257685,2012-05-10,76.1,2016-06-30
900008800257685,2013-07-02,0,2016-06-30
900008800257731,2012-02-21,365.25,2015-08-23
900008800257752,2011-12-22,365.25,2012-12-30
900008800257776,2012-04-18,121.76,2014-09-14
900008800257817,2012-01-04,365.25,2012-06-20
900008800257826,2013-06-19,343.085,2013-12-08
900008800257872,2012-06-15,273.96,2012-12-30
900008800257949,2012-04-11,136.98,2015-07-12
900008800257950,2012-06-15,365.25,2012-12-30
900008800257953,2012-06-03,121.76,2012-09-27
900008800258465,2013-03-14,365.25,2014-02-14
900008800258554,2012-04-26,273.75,2015-05-14
900008800258753,2013-03-14,365.25,2014-01-14
900008800274889,2012-03-13,365.25,2013-04-04
900008800275232,2012-04-13,365.25,2012-11-08
900008800275506,2013-08-26,251.625,2014-01-27
900008800275564,2012-05-14,365.25,2013-04-06
