budget,timing,puppy_vac,female_ster,contact_cost_scale,bite_scale
0,annual,0,0,1,1
5000,annual,0,0,1,1
5000,biennial,0,0,1,1
5000,reactive,0,0,1,1
20000,annual,0,0,1,1
20000,biennial,0,0,1,1
20000,reactive,0,0,1,1
40000,annual,0,0,1,1
40000,biennial,0,0,1,1
40000,reactive,0,0,1,1
5000,annual,1,0,1,1
5000,biennial,1,0,1,1
5000,reactive,1,0,1,1
20000,annual,1,0,1,1
20000,biennial,1,0,1,1
20000,reactive,1,0,1,1
40000,annual,1,0,1,1
40000,biennial,1,0,1,1
40000,reactive,1,0,1,1
5000,annual,0,1,1,1
5000,biennial,0,1,1,1
5000,reactive,0,1,1,1
20000,annual,0,1,1,1
20000,biennial,0,1,1,1
20000,reactive,0,1,1,1
40000,annual,0,1,1,1
40000,biennial,0,1,1,1
40000,reactive,0,1,1,1
5000,annual,0,0,0.5,1
20000,annual,0,0,0.5,1
40000,annual,0,0,0.5,1
5000,annual,1,0,0.5,1
20000,annual,1,0,0.5,1
40000,annual,1,0,0.5,1
5000,annual,0,0,1.5,1
20000,annual,0,0,1.5,1
40000,annual,0,0,1.5,1
5000,annual,1,0,1.5,1
20000,annual,1,0,1.5,1
40000,annual,1,0,1.5,1
5000,biennial,0,0,0.5,1
20000,biennial,0,0,0.5,1
40000,biennial,0,0,0.5,1
5000,biennial,1,0,0.5,1
20000,biennial,1,0,0.5,1
40000,biennial,1,0,0.5,1
5000,biennial,0,0,1.5,1
20000,biennial,0,0,1.5,1
40000,biennial,0,0,1.5,1
5000,biennial,1,0,1.5,1
20000,biennial,1,0,1.5,1
40000,biennial,1,0,1.5,1
5000,annual,0,0,0.5,1
20000,annual,0,0,0.5,1
40000,annual,0,0,0.5,1
5000,annual,0,1,0.5,1
20000,annual,0,1,0.5,1
40000,annual,0,1,0.5,1
5000,annual,0,0,1.5,1
20000,annual,0,0,1.5,1
40000,annual,0,0,1.5,1
5000,annual,0,1,1.5,1
20000,annual,0,1,1.5,1
40000,annual,0,1,1.5,1
5000,annual,0,0,1,0.5
20000,annual,0,0,1,0.5
40000,annual,0,0,1,0.5
5000,annual,1,0,1,0.5
20000,annual,1,0,1,0.5
40000,annual,1,0,1,0.5
5000,annual,0,0,1,1.5
20000,annual,0,0,1,1.5
40000,annual,0,0,1,1.5
5000,annual,1,0,1,1.5
20000,annual,1,0,1,1.5
40000,annual,1,0,1,1.5
5000,biennial,0,0,1,0.5
20000,biennial,0,0,1,0.5
40000,biennial,0,0,1,0.5
5000,biennial,1,0,1,0.5
20000,biennial,1,0,1,0.5
40000,biennial,1,0,1,0.5
5000,biennial,0,0,1,1.5
20000,biennial,0,0,1,1.5
40000,biennial,0,0,1,1.5
5000,biennial,1,0,1,1.5
20000,biennial,1,0,1,1.5
40000,biennial,1,0,1,1.5
5000,annual,0,0,1,0.5
20000,annual,0,0,1,0.5
40000,annual,0,0,1,0.5
5000,annual,0,1,1,0.5
20000,annual,0,1,1,0.5
40000,annual,0,1,1,0.5
5000,annual,0,0,1,1.5
20000,annual,0,0,1,1.5
40000,annual,0,0,1,1.5
5000,annual,0,1,1,1.5
20000,annual,0,1,1,1.5
40000,annual,0,1,1,1.5