"","daySeries","meanAbun","meanInf","meanVac"
"1",1,404,0,0
"2",2,403.572,0,0
"3",3,403.348,0,0
"4",4,403.204,0,0
"5",5,402.906,0,0
"6",6,402.72,0,0
"7",7,402.444,0,0
"8",8,402.252,0,0
"9",9,401.914,0,0
"10",10,401.782,0,0
"11",11,401.56,0,0
"12",12,401.2,0,0
"13",13,401.12,0,0
"14",14,400.896,0,0
"15",15,400.684,0,0
"16",16,400.5,0,0
"17",17,400.354,0,0
"18",18,400.21,0,0
"19",19,399.936,0,0
"20",20,399.728,0,0
"21",21,399.63,0,0
"22",22,399.38,0,0
"23",23,399.212,0,0
"24",24,399.06,0,0
"25",25,398.904,0,0
"26",26,398.858,0,0
"27",27,398.666,0,0
"28",28,398.43,0,0
"29",29,398.208,0,0
"30",30,398.104,0,0
"31",31,398.014,0,0
"32",32,397.916,0,0
"33",33,397.954,0,0
"34",34,397.724,0,0
"35",35,397.598,0,0
"36",36,397.472,0,0
"37",37,397.488,0,0
"38",38,397.256,0,0
"39",39,397.078,0,0
"40",40,396.942,0,0
"41",41,396.844,0,0
"42",42,396.71,0,0
"43",43,396.654,0,0
"44",44,396.568,0,0
"45",45,396.5,0,0
"46",46,396.42,0,0
"47",47,396.304,0,0
"48",48,396.216,0,0
"49",49,396.23,0,0
"50",50,396.194,0,0
"51",51,396.112,0,0
"52",52,396.056,0,0
"53",53,396.088,0,0
"54",54,396.034,0,0
"55",55,396.036,0,0
"56",56,396.014,0,0
"57",57,395.962,0,0
"58",58,395.874,0,0
"59",59,395.818,0,0
"60",60,395.714,0,0
"61",61,395.776,0,0
"62",62,395.73,0,0
"63",63,395.71,0,0
"64",64,395.87,0,0
"65",65,395.816,0,0
"66",66,395.732,0,0
"67",67,395.74,0,0
"68",68,395.846,0,0
"69",69,395.902,0,0
"70",70,395.796,0,0
"71",71,395.86,0,0
"72",72,395.854,0,0
"73",73,395.918,0,0
"74",74,396.01,0,0
"75",75,395.996,0,0
"76",76,395.94,0,0
"77",77,395.998,0,0
"78",78,396.018,0,0
"79",79,396.096,0,0
"80",80,396.136,0,0
"81",81,396.24,0,0
"82",82,396.394,0,0
"83",83,396.442,0,0
"84",84,396.368,0,0
"85",85,396.382,0,0
"86",86,396.456,0,0
"87",87,396.522,0,0
"88",88,396.666,0,0
"89",89,396.866,0,0
"90",90,396.93,0,0
"91",91,396.908,0,0
"92",92,397.044,0,0
"93",93,397.14,0,0
"94",94,397.208,0,0
"95",95,397.392,0,0
"96",96,397.38,0,0
"97",97,397.438,0,0
"98",98,397.598,0,0
"99",99,397.746,0,0
"100",100,397.826,0,0
"101",101,397.96,0,0
"102",102,398.024,0,0
"103",103,398.13,0,0
"104",104,398.236,0,0
"105",105,398.342,0,0
"106",106,398.496,0,0
"107",107,398.596,0,0
"108",108,398.622,0,0
"109",109,398.724,0,0
"110",110,398.836,0,0
"111",111,398.826,0,0
"112",112,398.968,0,0
"113",113,399.092,0,0
"114",114,399.184,0,0
"115",115,399.334,0,0
"116",116,399.36,0,0
"117",117,399.484,0,0
"118",118,399.57,0,0
"119",119,399.732,0,0
"120",120,399.764,0,0
"121",121,399.85,0,0
"122",122,400.052,0,0
"123",123,400.26,0,0
"124",124,400.384,0,0
"125",125,400.538,0,0
"126",126,400.696,0,0
"127",127,400.866,0,0
"128",128,400.95,0,0
"129",129,400.98,0,0
"130",130,401.16,0,0
"131",131,401.328,0,0
"132",132,401.544,0,0
"133",133,401.61,0,0
"134",134,401.738,0,0
"135",135,401.906,0,0
"136",136,402,0,0
"137",137,402.14,0,0
"138",138,402.414,0,0
"139",139,402.634,0,0
"140",140,402.752,0,0
"141",141,402.966,0,0
"142",142,403.168,0,0
"143",143,403.404,0,0
"144",144,403.594,0,0
"145",145,403.706,0,0
"146",146,403.812,0,0
"147",147,404.018,0,0
"148",148,404.134,0,0
"149",149,404.3,0,0
"150",150,404.462,0,0
"151",151,404.726,0,0
"152",152,405.022,0,0
"153",153,405.23,0,0
"154",154,405.404,0,0
"155",155,405.582,0,0
"156",156,405.822,0,0
"157",157,405.932,0,0
"158",158,406.062,0,0
"159",159,406.154,0,0
"160",160,406.368,0,0
"161",161,406.538,0,0
"162",162,406.648,0,0
"163",163,406.79,0,0
"164",164,406.934,0,0
"165",165,406.98,0,0
"166",166,407.136,0,0
"167",167,407.246,0,0
"168",168,407.42,0,0
"169",169,407.552,0,0
"170",170,407.718,0,0
"171",171,407.988,0,0
"172",172,408.316,0,0
"173",173,408.42,0,0
"174",174,408.75,0,0
"175",175,408.936,0,0
"176",176,409.122,0,0
"177",177,409.316,0,0
"178",178,409.468,0,0
"179",179,409.668,0,0
"180",180,409.86,0,0
"181",181,409.988,0,0
"182",182,410.132,0,0
"183",183,410.388,0,0
"184",184,410.508,0,0
"185",185,410.63,0,0
"186",186,410.856,0,0
"187",187,410.998,0,0
"188",188,411.098,0,0
"189",189,411.416,0,0
"190",190,411.536,0,0
"191",191,411.754,0,0
"192",192,412.046,0,0
"193",193,412.114,0,0
"194",194,412.196,0,0
"195",195,412.328,0,0
"196",196,412.586,0,0
"197",197,412.79,0,0
"198",198,412.996,0,0
"199",199,413.312,0,0
"200",200,413.49,0,0
"201",201,413.608,0,0
"202",202,413.942,0,0
"203",203,414.142,0,0
"204",204,414.344,0,0
"205",205,414.598,0,0
"206",206,414.74,0,0
"207",207,414.994,0,0
"208",208,415.134,0,0
"209",209,415.324,0,0
"210",210,415.394,0,0
"211",211,415.446,0,0
"212",212,415.552,0,0
"213",213,415.768,0,0
"214",214,415.966,0,0
"215",215,416.144,0,0
"216",216,416.396,0,0
"217",217,416.526,0,0
"218",218,416.618,0,0
"219",219,417.004,0,0
"220",220,417.164,0,0
"221",221,417.414,0,0
"222",222,417.568,0,0
"223",223,417.736,0,0
"224",224,417.948,0,0
"225",225,418.226,0,0
"226",226,418.422,0,0
"227",227,418.468,0,0
"228",228,418.656,0,0
"229",229,418.754,0,0
"230",230,418.988,0,0
"231",231,419.146,0,0
"232",232,419.448,0,0
"233",233,419.736,0,0
"234",234,419.94,0,0
"235",235,420.148,0,0
"236",236,420.348,0,0
"237",237,420.604,0,0
"238",238,420.808,0,0
"239",239,420.99,0,0
"240",240,421.22,0,0
"241",241,421.336,0,0
"242",242,421.728,0,0
"243",243,421.938,0,0
"244",244,422.152,0,0
"245",245,422.314,0,0
"246",246,422.558,0,0
"247",247,422.876,0,0
"248",248,423.026,0,0
"249",249,423.106,0,0
"250",250,423.328,0,0
"251",251,423.548,0,0
"252",252,423.69,0,0
"253",253,423.908,0,0
"254",254,424.126,0,0
"255",255,424.388,0,0
"256",256,424.582,0,0
"257",257,424.82,0,0
"258",258,425.096,0,0
"259",259,425.392,0,0
"260",260,425.644,0,0
"261",261,425.81,0,0
"262",262,426.148,0,0
"263",263,426.302,0,0
"264",264,426.458,0,0
"265",265,426.742,0,0
"266",266,426.942,0,0
"267",267,427.244,0,0
"268",268,427.442,0,0
"269",269,427.72,0,0
"270",270,428.108,0,0
"271",271,428.422,0,0
"272",272,428.568,0,0
"273",273,428.734,0,0
"274",274,428.932,0,0
"275",275,429.338,0,0
"276",276,429.562,0,0
"277",277,429.774,0,0
"278",278,430,0,0
"279",279,430.15,0,0
"280",280,430.584,0,0
"281",281,430.864,0,0
"282",282,431.05,0,0
"283",283,431.276,0,0
"284",284,431.492,0,0
"285",285,431.804,0,0
"286",286,431.958,0,0
"287",287,432.234,0,0
"288",288,432.342,0,0
"289",289,432.422,0,0
"290",290,432.582,0,0
"291",291,432.714,0,0
"292",292,432.928,0,0
"293",293,433.184,0,0
"294",294,433.218,0,0
"295",295,433.41,0,0
"296",296,433.79,0,0
"297",297,434.054,0,0
"298",298,434.276,0,0
"299",299,434.53,0,0
"300",300,434.788,0,0
"301",301,434.95,0,0
"302",302,435.204,0,0
"303",303,435.322,0,0
"304",304,435.62,0,0
"305",305,435.688,0,0
"306",306,435.842,0,0
"307",307,435.846,0,0
"308",308,436.088,0,0
"309",309,436.36,0,0
"310",310,436.694,0,0
"311",311,436.854,0,0
"312",312,437.292,0,0
"313",313,437.574,0,0
"314",314,437.712,0,0
"315",315,438.12,0,0
"316",316,438.332,0,0
"317",317,438.66,0,0
"318",318,438.934,0,0
"319",319,439.148,0,0
"320",320,439.434,0,0
"321",321,439.66,0,0
"322",322,439.858,0,0
"323",323,440.098,0,0
"324",324,440.314,0,0
"325",325,440.56,0,0
"326",326,440.846,0,0
"327",327,441.054,0,0
"328",328,441.388,0,0
"329",329,441.448,0,0
"330",330,441.676,0,0
"331",331,441.976,0,0
"332",332,442.146,0,0
"333",333,442.422,0,0
"334",334,442.538,0,0
"335",335,442.842,0,0
"336",336,443.012,0,0
"337",337,443.162,0,0
"338",338,443.53,0,0
"339",339,443.94,0,0
"340",340,444.082,0,0
"341",341,444.136,0,0
"342",342,444.474,0,0
"343",343,444.75,0,0
"344",344,444.892,0,0
"345",345,445.142,0,0
"346",346,445.332,0,0
"347",347,445.516,0,0
"348",348,445.87,0,0
"349",349,446.09,0,0
"350",350,446.224,0,0
"351",351,446.528,0,0
"352",352,446.716,0,0
"353",353,446.996,0,0
"354",354,447.156,0,0
"355",355,447.43,0,0
"356",356,447.662,0,0
"357",357,447.8,0,0
"358",358,447.98,0,0
"359",359,448.058,0,0
"360",360,448.382,0,0
"361",361,448.676,0,0
"362",362,448.902,0,0
"363",363,449.128,0,0
"364",364,449.452,0,0
"365",365,449.7,0,0
"366",366,449.998,0,0
"367",367,450.132,0,0
"368",368,450.38,0,0
"369",369,450.668,0,0
"370",370,450.846,0,0
"371",371,451.086,0,0
"372",372,451.2,0,0
"373",373,451.39,0,0
"374",374,451.722,0,0
"375",375,452.002,0,0
"376",376,452.178,0,0
"377",377,452.346,0,0
"378",378,452.6,0,0
"379",379,452.778,0,0
"380",380,453.042,0,0
"381",381,453.23,0,0
"382",382,453.494,0,0
"383",383,453.936,0,0
"384",384,454.208,0,0
"385",385,454.512,0,0
"386",386,454.744,0,0
"387",387,455.088,0,0
"388",388,455.386,0,0
"389",389,455.424,0,0
"390",390,455.614,0,0
"391",391,455.784,0,0
"392",392,456.052,0,0
"393",393,456.374,0,0
"394",394,456.552,0,0
"395",395,456.69,0,0
"396",396,456.918,0,0
"397",397,457.126,0,0
"398",398,457.326,0,0
"399",399,457.564,0,0
"400",400,457.76,0,0
"401",401,458.036,0,0
"402",402,458.082,0,0
"403",403,458.254,0,0
"404",404,458.478,0,0
"405",405,458.674,0,0
"406",406,458.886,0,0
"407",407,459.062,0,0
"408",408,459.15,0,0
"409",409,459.368,0,0
"410",410,459.71,0,0
"411",411,459.888,0,0
"412",412,460.118,0,0
"413",413,460.382,0,0
"414",414,460.612,0,0
"415",415,460.852,0,0
"416",416,461.064,0,0
"417",417,461.218,0,0
"418",418,461.394,0,0
"419",419,461.688,0,0
"420",420,461.812,0,0
"421",421,462.11,0,0
"422",422,462.336,0,0
"423",423,462.476,0,0
"424",424,462.612,0,0
"425",425,462.818,0,0
"426",426,463.166,0,0
"427",427,463.344,0,0
"428",428,463.736,0,0
"429",429,463.826,0,0
"430",430,464.104,0,0
"431",431,464.398,0,0
"432",432,464.634,0,0
"433",433,464.678,0,0
"434",434,464.944,0,0
"435",435,465.236,0,0
"436",436,465.588,0,0
"437",437,465.776,0,0
"438",438,466.002,0,0
"439",439,466.086,0,0
"440",440,466.304,0,0
"441",441,466.554,0,0
"442",442,466.674,0,0
"443",443,466.956,0,0
"444",444,467.04,0,0
"445",445,467.298,0,0
"446",446,467.524,0,0
"447",447,467.762,0,0
"448",448,467.876,0,0
"449",449,467.98,0,0
"450",450,468.242,0,0
"451",451,468.318,0,0
"452",452,468.464,0,0
"453",453,468.726,0,0
"454",454,468.848,0,0
"455",455,469.086,0,0
"456",456,469.292,0,0
"457",457,469.606,0,0
"458",458,469.876,0,0
"459",459,470.142,0,0
"460",460,470.31,0,0
"461",461,470.398,0,0
"462",462,470.46,0,0
"463",463,470.646,0,0
"464",464,470.82,0,0
"465",465,471.064,0,0
"466",466,471.344,0,0
"467",467,471.628,0,0
"468",468,471.778,0,0
"469",469,472.096,0,0
"470",470,472.308,0,0
"471",471,472.416,0,0
"472",472,472.564,0,0
"473",473,472.626,0,0
"474",474,472.828,0,0
"475",475,473.02,0,0
"476",476,473.316,0,0
"477",477,473.61,0,0
"478",478,473.864,0,0
"479",479,474.142,0,0
"480",480,474.338,0,0
"481",481,474.61,0,0
"482",482,474.84,0,0
"483",483,474.92,0,0
"484",484,475.284,0,0
"485",485,475.378,0,0
"486",486,475.58,0,0
"487",487,475.762,0,0
"488",488,475.918,0,0
"489",489,476.1,0,0
"490",490,476.208,0,0
"491",491,476.408,0,0
"492",492,476.632,0,0
"493",493,476.798,0,0
"494",494,477.078,0,0
"495",495,477.092,0,0
"496",496,477.25,0,0
"497",497,477.324,0,0
"498",498,477.44,0,0
"499",499,477.63,0,0
"500",500,477.86,0,0
"501",501,477.956,0,0
"502",502,478.128,0,0
"503",503,478.22,0,0
"504",504,478.314,0,0
"505",505,478.464,0,0
"506",506,478.702,0,0
"507",507,478.88,0,0
"508",508,479.088,0,0
"509",509,479.32,0,0
"510",510,479.49,0,0
"511",511,479.788,0,0
"512",512,479.892,0,0
"513",513,479.94,0,0
"514",514,479.968,0,0
"515",515,480.262,0,0
"516",516,480.348,0,0
"517",517,480.466,0,0
"518",518,480.71,0,0
"519",519,480.76,0,0
"520",520,480.764,0,0
"521",521,481.058,0,0
"522",522,481.172,0,0
"523",523,481.378,0,0
"524",524,481.564,0,0
"525",525,481.804,0,0
"526",526,482.052,0,0
"527",527,482.266,0,0
"528",528,482.464,0,0
"529",529,482.674,0,0
"530",530,482.956,0,0
"531",531,483.154,0,0
"532",532,483.41,0,0
"533",533,483.674,0,0
"534",534,483.964,0,0
"535",535,484.208,0,0
"536",536,484.342,0,0
"537",537,484.456,0,0
"538",538,484.7,0,0
"539",539,484.906,0,0
"540",540,485.192,0,0
"541",541,485.362,0,0
"542",542,485.594,0,0
"543",543,485.732,0,0
"544",544,485.764,0,0
"545",545,486.07,0,0
"546",546,486.318,0,0
"547",547,486.478,0,0
"548",548,486.668,0,0
"549",549,486.828,0,0
"550",550,486.964,0,0
"551",551,487.212,0,0
"552",552,487.372,0,0
"553",553,487.682,0,0
"554",554,487.978,0,0
"555",555,488.236,0,0
"556",556,488.454,0,0
"557",557,488.606,0,0
"558",558,488.738,0,0
"559",559,488.918,0,0
"560",560,489.118,0,0
"561",561,489.246,0,0
"562",562,489.372,0,0
"563",563,489.428,0,0
"564",564,489.642,0,0
"565",565,489.762,0,0
"566",566,489.996,0,0
"567",567,490.2,0,0
"568",568,490.348,0,0
"569",569,490.682,0,0
"570",570,490.97,0,0
"571",571,491.124,0,0
"572",572,491.262,0,0
"573",573,491.252,0,0
"574",574,491.402,0,0
"575",575,491.49,0,0
"576",576,491.724,0,0
"577",577,491.92,0,0
"578",578,492.282,0,0
"579",579,492.406,0,0
"580",580,492.578,0,0
"581",581,492.68,0,0
"582",582,492.818,0,0
"583",583,492.976,0,0
"584",584,493.292,0,0
"585",585,493.502,0,0
"586",586,493.614,0,0
"587",587,493.752,0,0
"588",588,493.8,0,0
"589",589,493.912,0,0
"590",590,494.22,0,0
"591",591,494.346,0,0
"592",592,494.436,0,0
"593",593,494.728,0,0
"594",594,494.904,0,0
"595",595,495.094,0,0
"596",596,495.388,0,0
"597",597,495.662,0,0
"598",598,495.784,0,0
"599",599,496.13,0,0
"600",600,496.204,0,0
"601",601,496.272,0,0
"602",602,496.392,0,0
"603",603,496.366,0,0
"604",604,496.628,0,0
"605",605,496.922,0,0
"606",606,497.018,0,0
"607",607,497.224,0,0
"608",608,497.354,0,0
"609",609,497.596,0,0
"610",610,497.724,0,0
"611",611,498.058,0,0
"612",612,498.16,0,0
"613",613,498.392,0,0
"614",614,498.586,0,0
"615",615,498.728,0,0
"616",616,498.904,0,0
"617",617,498.968,0,0
"618",618,499.234,0,0
"619",619,499.484,0,0
"620",620,499.704,0,0
"621",621,499.826,0,0
"622",622,500.084,0,0
"623",623,500.186,0,0
"624",624,500.46,0,0
"625",625,500.652,0,0
"626",626,500.86,0,0
"627",627,500.938,0,0
"628",628,501.062,0,0
"629",629,501.18,0,0
"630",630,501.314,0,0
"631",631,501.414,0,0
"632",632,501.562,0,0
"633",633,501.808,0,0
"634",634,501.95,0,0
"635",635,502.116,0,0
"636",636,502.362,0,0
"637",637,502.644,0,0
"638",638,502.904,0,0
"639",639,503.084,0,0
"640",640,503.254,0,0
"641",641,503.52,0,0
"642",642,503.702,0,0
"643",643,503.84,0,0
"644",644,504.122,0,0
"645",645,504.238,0,0
"646",646,504.33,0,0
"647",647,504.508,0,0
"648",648,504.62,0,0
"649",649,504.788,0,0
"650",650,504.966,0,0
"651",651,505.222,0,0
"652",652,505.528,0,0
"653",653,505.726,0,0
"654",654,505.94,0,0
"655",655,506.09,0,0
"656",656,506.278,0,0
"657",657,506.416,0,0
"658",658,506.494,0,0
"659",659,506.602,0,0
"660",660,506.774,0,0
"661",661,506.89,0,0
"662",662,507.062,0,0
"663",663,507.234,0,0
"664",664,507.38,0,0
"665",665,507.594,0,0
"666",666,507.668,0,0
"667",667,507.888,0,0
"668",668,508.142,0,0
"669",669,508.236,0,0
"670",670,508.364,0,0
"671",671,508.592,0,0
"672",672,508.754,0,0
"673",673,508.9,0,0
"674",674,509.192,0,0
"675",675,509.31,0,0
"676",676,509.576,0,0
"677",677,509.674,0,0
"678",678,509.804,0,0
"679",679,509.89,0,0
"680",680,509.994,0,0
"681",681,510.312,0,0
"682",682,510.572,0,0
"683",683,510.72,0,0
"684",684,510.8,0,0
"685",685,511.064,0,0
"686",686,511.266,0,0
"687",687,511.498,0,0
"688",688,511.586,0,0
"689",689,511.712,0,0
"690",690,511.856,0,0
"691",691,511.972,0,0
"692",692,512.254,0,0
"693",693,512.438,0,0
"694",694,512.658,0,0
"695",695,512.864,0,0
"696",696,512.974,0,0
"697",697,513.174,0,0
"698",698,513.376,0,0
"699",699,513.562,0,0
"700",700,513.626,0,0
"701",701,513.788,0,0
"702",702,513.962,0,0
"703",703,514.024,0,0
"704",704,514.096,0,0
"705",705,514.246,0,0
"706",706,514.372,0,0
"707",707,514.566,0,0
"708",708,514.732,0,0
"709",709,514.86,0,0
"710",710,514.966,0,0
"711",711,515.064,0,0
"712",712,515.268,0,0
"713",713,515.616,0,0
"714",714,515.618,0,0
"715",715,515.842,0,0
"716",716,515.986,0,0
"717",717,516.114,0,0
"718",718,516.35,0,0
"719",719,516.362,0,0
"720",720,516.564,0,0
"721",721,516.708,0,0
"722",722,516.796,0,0
"723",723,516.918,0,0
"724",724,517.192,0,0
"725",725,517.278,0,0
"726",726,517.424,0,0
"727",727,517.614,0,0
"728",728,517.926,0,0
"729",729,518.132,0,0
"730",730,518.3,0,0
"731",731,518.474,0,0
"732",732,518.594,0,0
"733",733,518.752,0,0
"734",734,518.924,0,0
"735",735,518.942,0,0
"736",736,518.97,0,0
"737",737,519.088,0,0
"738",738,519.24,0,0
"739",739,519.35,0,0
"740",740,519.392,0,0
"741",741,519.588,0,0
"742",742,519.692,0,0
"743",743,519.732,0,0
"744",744,519.968,0,0
"745",745,520.078,0,0
"746",746,520.138,0,0
"747",747,520.33,0,0
"748",748,520.496,0,0
"749",749,520.504,0,0
"750",750,520.74,0,0
"751",751,520.952,0,0
